Country,GDP,Population,Inflation,Unemployment,Exports,Imports,Year
Afghanistan,287.8,43.46,5.0,4.1,75.6,89.1,2026
Albania,328.5,16.86,4.6,5.3,49.3,111.4,2026
Algeria,498.3,5.41,7.0,8.0,87.9,92.3,2026
Andorra,339.1,46.23,5.8,8.6,42.9,100.6,2026
Angola,491.3,96.97,5.3,2.4,49.5,74.1,2026
Antigua and Barbuda,470.8,30.98,3.6,11.0,76.7,115.9,2026
Argentina,220.8,7.43,5.1,10.4,29.0,37.9,2026
Armenia,209.4,4.66,4.5,10.2,48.5,50.8,2026
Australia,428.3,15.82,5.0,5.7,94.3,62.5,2026
Austria,388.9,10.56,2.2,10.1,112.6,85.4,2026
Azerbaijan,210.0,25.3,2.9,8.2,28.5,31.0,2026
Bahamas,230.6,17.33,5.5,10.2,58.9,53.1,2026
Bahrain,177.0,44.04,1.0,9.1,29.4,34.2,2026
Bangladesh,44.6,45.36,5.1,5.9,12.2,12.3,2026
Barbados,124.5,53.01,7.4,7.2,27.4,16.7,2026
Belarus,247.2,46.68,3.8,6.2,53.6,60.3,2026
Belgium,247.5,17.41,4.1,11.7,45.3,31.7,2026
Belize,6.4,54.01,1.4,2.9,0.8,1.4,2026
Benin,496.4,49.02,4.2,6.4,99.4,110.6,2026
Bhutan,364.5,89.9,5.9,6.2,83.8,120.0,2026
Bolivia,81.0,24.5,5.3,8.9,18.5,20.7,2026
Bosnia and Herzegovina,415.6,48.42,6.7,11.6,77.7,132.0,2026
Botswana,360.5,88.98,1.3,11.1,91.3,123.1,2026
Brazil,490.8,29.26,5.7,3.4,107.5,162.7,2026
Brunei,100.0,35.64,1.6,3.9,14.2,14.2,2026
Bulgaria,499.9,88.87,4.2,9.4,119.5,120.1,2026
Burkina Faso,214.6,66.74,4.9,4.7,37.1,56.7,2026
Burundi,315.4,21.75,5.3,10.7,86.5,85.2,2026
Cabo Verde,39.7,42.93,1.6,2.6,6.0,8.9,2026
Cambodia,380.9,63.26,3.0,9.0,76.7,90.2,2026
Cameroon,135.5,44.72,3.4,9.3,26.6,30.2,2026
Canada,241.1,48.51,5.8,9.2,62.7,51.4,2026
Central African Republic,397.8,96.51,7.9,9.2,45.0,125.3,2026
Chad,419.0,2.62,3.3,5.2,103.9,109.1,2026
Chile,144.7,19.45,2.2,3.0,37.3,48.5,2026
China,18500.2,1409.5,0.8,5.1,3400.8,2600.4,2026
Colombia,487.6,87.09,1.1,4.0,131.5,122.9,2026
Comoros,263.8,81.17,6.3,11.5,43.6,34.5,2026
Congo,347.7,5.96,5.0,10.6,62.4,89.8,2026
Costa Rica,89.9,16.62,5.2,10.6,27.0,11.4,2026
Croatia,460.9,51.6,3.4,6.0,99.4,92.2,2026
Cuba,77.0,86.69,5.9,8.1,18.8,26.7,2026
Cyprus,91.7,82.59,6.8,5.4,19.4,20.7,2026
Czechia,101.2,43.86,2.1,11.3,13.9,26.9,2026
DR Congo,287.2,97.49,6.6,5.6,50.3,37.8,2026
Denmark,30.7,31.79,7.6,2.5,4.2,8.2,2026
Djibouti,183.4,19.37,7.6,2.4,40.3,40.1,2026
Dominica,175.9,20.3,2.1,6.1,44.1,40.1,2026
Dominican Republic,389.8,87.99,2.2,10.8,84.3,84.5,2026
Ecuador,259.1,89.11,3.7,2.9,75.6,38.1,2026
Egypt,57.9,72.45,3.2,4.9,13.3,18.8,2026
El Salvador,176.1,90.81,5.3,8.1,36.4,21.6,2026
Equatorial Guinea,83.2,68.03,5.9,3.0,18.9,19.1,2026
Eritrea,290.6,40.51,2.5,5.6,85.4,47.5,2026
Estonia,431.8,53.59,1.5,10.1,44.7,135.0,2026
Eswatini,172.6,91.94,6.1,5.6,38.8,59.9,2026
Ethiopia,89.7,21.35,3.0,10.2,13.4,15.8,2026
Fiji,309.3,58.87,3.9,7.5,32.9,37.5,2026
Finland,18.7,6.45,6.4,11.8,2.3,3.9,2026
France,12.2,43.96,5.6,8.2,3.4,3.0,2026
Gabon,31.1,38.26,4.2,5.4,3.3,8.2,2026
Gambia,247.0,71.22,3.6,2.7,37.8,39.6,2026
Georgia,233.1,16.21,1.6,7.2,29.9,33.6,2026
Germany,4500.8,84.3,2.1,3.2,1700.5,1450.2,2026
Ghana,378.1,43.34,4.6,9.1,85.7,98.3,2026
Greece,324.9,54.02,2.5,5.1,77.4,70.3,2026
Grenada,429.9,38.04,5.7,3.2,68.7,135.7,2026
Guatemala,91.9,62.97,1.2,8.1,17.5,30.0,2026
Guinea,413.6,77.55,3.4,8.7,54.2,96.2,2026
Guinea-Bissau,197.7,47.5,2.9,4.1,40.3,53.4,2026
Guyana,283.6,95.35,4.9,3.5,64.8,54.7,2026
Haiti,469.6,13.86,4.2,8.7,138.0,112.7,2026
Honduras,193.2,77.85,6.5,11.1,47.2,28.9,2026
Hungary,495.8,93.14,4.0,8.6,132.3,164.1,2026
Iceland,362.9,9.97,1.5,5.7,69.4,69.5,2026
India,3950.6,1435.2,4.5,6.8,440.2,680.7,2026
Indonesia,124.5,16.47,3.7,10.6,27.3,34.6,2026
Iran,410.0,39.2,7.7,11.9,84.9,119.9,2026
Iraq,427.6,59.57,1.9,8.6,81.7,135.3,2026
Ireland,108.6,2.17,2.3,3.7,19.2,18.2,2026
Israel,170.3,59.32,2.1,6.8,29.1,20.6,2026
Italy,338.7,50.65,6.4,10.8,37.1,96.3,2026
Ivory Coast,232.3,87.55,1.8,10.4,43.2,32.8,2026
Jamaica,233.8,87.84,1.5,5.8,27.1,28.4,2026
Japan,4200.1,123.8,1.9,2.5,750.4,780.1,2026
Jordan,377.8,85.24,6.7,5.9,39.5,132.0,2026
Kazakhstan,318.3,71.46,5.9,5.0,73.6,71.2,2026
Kenya,117.3,50.45,4.3,5.0,29.3,38.6,2026
Kiribati,301.0,3.3,4.8,8.3,79.2,57.1,2026
Kuwait,121.0,38.0,2.1,9.8,12.8,30.2,2026
Kyrgyzstan,417.4,4.21,2.2,11.9,67.4,123.8,2026
Laos,19.1,47.23,1.3,4.5,2.0,5.3,2026
Latvia,229.8,35.85,3.9,8.8,34.9,35.7,2026
Lebanon,25.7,65.73,5.7,4.4,5.2,8.8,2026
Lesotho,239.3,76.85,3.5,7.5,61.2,67.1,2026
Liberia,300.7,30.17,1.4,6.8,73.5,61.0,2026
Libya,364.6,47.63,1.5,7.8,76.5,70.7,2026
Liechtenstein,103.6,98.57,5.1,9.2,11.2,29.9,2026
Lithuania,84.9,48.83,3.8,5.9,21.9,14.1,2026
Luxembourg,472.8,85.15,4.4,10.8,99.3,156.6,2026
Madagascar,246.8,97.78,6.2,8.6,73.8,69.1,2026
Malawi,126.2,65.08,2.2,6.0,30.4,20.7,2026
Malaysia,214.5,23.71,3.9,4.3,51.6,66.9,2026
Maldives,243.2,71.52,6.3,10.1,63.3,66.0,2026
Mali,370.7,73.21,4.7,10.0,51.1,105.9,2026
Malta,321.0,54.53,5.2,11.2,82.8,89.5,2026
Marshall Islands,450.9,87.26,3.3,10.6,125.0,114.5,2026
Mauritania,463.1,18.37,6.6,4.4,83.3,109.7,2026
Mauritius,213.8,52.17,1.6,2.6,52.4,39.0,2026
Mexico,142.4,70.33,6.3,7.3,37.5,28.6,2026
Micronesia,445.6,64.19,6.9,10.1,107.0,148.2,2026
Moldova,378.3,45.57,1.8,6.0,84.3,47.4,2026
Monaco,300.3,41.39,4.3,2.7,34.7,80.8,2026
Mongolia,138.3,16.28,7.1,2.6,33.3,42.8,2026
Montenegro,448.8,66.27,1.4,6.4,123.4,96.2,2026
Morocco,270.0,74.54,5.0,5.6,59.0,61.2,2026
Mozambique,169.7,7.91,2.8,12.0,26.9,34.0,2026
Myanmar,490.6,11.17,2.8,5.8,94.6,104.6,2026
Namibia,140.9,15.89,4.9,3.7,14.2,41.5,2026
Nauru,383.0,36.76,7.2,3.6,107.3,106.0,2026
Nepal,336.8,5.95,6.3,3.7,69.8,83.0,2026
Netherlands,34.9,30.23,7.4,9.6,5.6,12.0,2026
New Zealand,40.7,65.6,6.6,10.5,9.3,11.8,2026
Nicaragua,126.9,78.48,5.8,7.7,19.5,34.8,2026
Niger,29.6,50.72,5.6,5.4,6.5,3.9,2026
Nigeria,170.6,49.6,6.8,7.4,48.8,35.1,2026
North Korea,446.6,58.61,4.3,3.8,118.5,135.3,2026
North Macedonia,196.8,32.81,2.9,5.4,23.3,62.3,2026
Norway,220.9,18.58,5.8,3.8,61.0,26.7,2026
Oman,278.8,64.41,3.4,3.9,78.0,71.4,2026
Pakistan,349.2,17.44,1.1,11.1,48.1,46.3,2026
Palau,389.8,57.08,1.1,7.6,78.6,129.5,2026
Panama,297.1,15.91,5.4,10.0,87.2,56.9,2026
Papua New Guinea,290.7,5.72,7.7,3.4,67.0,92.1,2026
Paraguay,242.5,97.8,3.9,7.7,65.6,30.0,2026
Peru,432.3,84.74,2.2,9.0,67.1,71.0,2026
Philippines,257.9,71.42,3.7,5.4,37.4,65.0,2026
Poland,293.7,86.92,6.8,2.1,38.0,44.1,2026
Portugal,139.6,74.48,4.4,9.3,37.4,28.6,2026
Qatar,6.7,22.11,5.3,7.7,0.9,2.0,2026
Romania,19.3,16.32,4.6,8.0,5.5,4.0,2026
Russia,407.3,47.76,3.1,11.5,81.1,115.1,2026
Rwanda,149.7,88.58,4.3,2.5,17.0,30.1,2026
Saint Kitts and Nevis,216.7,12.01,6.9,7.6,62.8,58.4,2026
Saint Lucia,400.5,17.87,1.3,4.3,73.6,52.7,2026
Saint Vincent,464.1,30.59,6.5,2.5,125.3,91.3,2026
Samoa,259.8,61.34,5.3,5.0,39.2,54.4,2026
San Marino,280.3,1.06,2.6,2.7,74.7,78.8,2026
Sao Tome,416.5,67.29,1.2,5.3,115.1,94.7,2026
Saudi Arabia,164.4,16.65,7.4,2.9,28.3,31.7,2026
Senegal,320.4,91.23,6.2,11.7,50.3,93.4,2026
Serbia,357.9,6.26,5.0,10.8,38.0,61.7,2026
Seychelles,270.1,61.19,4.8,10.8,47.5,73.3,2026
Sierra Leone,274.7,82.32,3.7,11.2,74.0,78.7,2026
Singapore,458.3,66.63,3.1,11.6,78.1,91.5,2026
Slovakia,315.4,50.54,8.0,6.1,90.4,70.5,2026
Slovenia,116.6,54.03,5.7,5.0,25.3,25.7,2026
Solomon Islands,15.6,7.42,3.7,9.0,2.1,5.3,2026
Somalia,184.7,11.67,2.3,11.2,49.7,50.3,2026
South Africa,34.0,64.57,1.2,4.3,3.9,9.3,2026
South Korea,410.5,26.87,8.0,7.4,110.8,67.8,2026
South Sudan,399.2,63.45,1.5,9.6,100.9,82.6,2026
Spain,136.5,8.42,5.2,5.0,20.0,30.5,2026
Sri Lanka,68.6,66.31,3.3,4.9,12.8,15.1,2026
Sudan,220.3,26.14,6.3,11.0,46.9,63.0,2026
Suriname,406.1,29.3,7.1,7.7,92.2,100.4,2026
Sweden,442.8,49.7,6.0,4.6,58.4,108.1,2026
Switzerland,413.3,15.29,6.1,4.7,50.5,126.6,2026
Syria,33.7,42.55,5.6,9.0,8.5,4.8,2026
Ref_Country,GDP,Population,Inflation,Unemployment,Exports,Imports,Year
Tajikistan,69.8,31.31,6.9,11.0,12.9,12.9,2026
Tanzania,309.3,43.54,1.1,8.1,88.4,84.5,2026
Thailand,363.7,8.05,5.3,11.4,56.1,70.5,2026
Timor-Leste,128.8,60.2,3.4,10.5,30.3,31.6,2026
Togo,381.9,21.58,2.8,6.2,68.3,84.4,2026
Tonga,493.6,33.07,6.9,10.3,80.7,103.8,2026
Trinidad and Tobago,16.2,69.81,4.4,3.7,4.5,3.6,2026
Tunisia,124.7,48.08,2.2,4.4,28.6,33.8,2026
Turkey,57.1,73.87,6.4,7.4,12.7,14.9,2026
Turkmenistan,389.0,71.56,6.5,7.2,75.3,59.3,2026
Tuvalu,337.4,64.55,6.4,8.5,67.2,45.0,2026
Uganda,326.5,67.85,1.9,4.4,62.9,48.0,2026
Ukraine,497.1,8.29,5.9,10.7,55.7,114.4,2026
UAE,223.4,97.71,7.7,7.8,55.8,71.4,2026
United Kingdom,58.0,11.99,5.5,11.1,14.0,19.1,2026
United States,28700.5,342.1,2.4,3.8,2100.2,3200.5,2026
Uruguay,225.8,47.26,4.8,5.0,42.7,27.1,2026
Uzbekistan,6.4,53.09,1.7,8.1,1.2,1.4,2026
Vanuatu,152.2,86.41,3.4,10.6,17.2,40.4,2026
Venezuela,96.6,92.57,1.3,10.3,24.5,20.4,2026
Vietnam,36.8,71.01,6.1,9.9,8.7,11.4,2026
Yemen,201.8,65.16,7.3,4.9,29.3,38.3,2026
Zambia,13.8,84.31,2.2,2.1,2.1,3.1,2026
Zimbabwe,451.7,35.75,7.1,11.3,134.4,115.1,2026
